Number,Ticker,KoreanTicker
194,BBVA,방코 빌바오 비스카야 아르헨타리아 SA ADR
195,TT,트레인 테크놀로지 PLC
196,KMB,킴벌리클라크
197,LYG,로이즈 뱅킹 그룹 ADR
198,APTV,앱티브
199,E,에니 SpA ADR
200,DLR,디지털 리얼티 트러스트
201,APH,암페놀
202,BCS,바클레이즈 ADR
203,SPG,사이먼 프로퍼티 그룹
204,RACE,페라리 NV
205,DIDI,디디 글로벌 ADR Class A
206,KMI,킨더 모건
207,SRE,셈프라 에너지
208,PBR,페트로브라스 SA ADR Each Rep 2 ORS SHS
209,PRU,푸르덴셜 파이낸셜
210,CRH,CRH PLC ADR
211,SPOT,스포티파이 테크놀러지
212,DD,듀폰
213,EOG,EOG 리소시스
214,PPG,PPG 인더스트리스
215,PHG,코닝클레이커 필립스 NV ADR
216,SYY,시스코
217,DFS,디스커버 파이낸셜 서비스
218,RMD,레스메드
219,ALL,올스테이트
220,BSMX,방코 산탄데르 멕시코 SA ADR Series B
221,SLB,슐럼버거
222,MFC,매뉴라이프 파이낸셜
223,CHWY,쉐위
224,YUM,염! 브랜즈
225,CNQ,캐나다 내추럴 리소시스
226,MT,아르셀로미탈 SA ADR
227,TRV,트래블러스 컴퍼니스
228,MSI,모토로라 솔루션스
229,IFF,인터내셔널 플레이버스 & 프레그런스
230,STM,ST 마이크로 일렉트로닉스 NV ADR
231,OTIS,오티스 월드와이드
232,AFL,애플랙
233,RSG,리퍼블릭 서비스
234,NET,클라우드플레어 Class A
235,PH,파커-하니핀
236,MPC,매러선 페트롤리엄
237,AMX,아메리카 모빌 SAV de CV ADR Series L
238,MFG,미즈호 파이낸셜그룹 ADR
239,PXD,파이어니어 내추럴 리소시스
240,BAX,박스터 인터내셔널
241,CNC,센틴
242,NUE,뉴코
243,ROK,로크웰 오토메이션
244,HSY,허쉬
245,PINS,핀터레스트 Class A
246,HPQ,휴렛 패커드
247,NTR,뉴트리엔
248,PANW,팔로 알토 네트웍스
249,GIS,제너럴 밀즈
250,U,유니티소프트웨어
251,STZ,컨스텔레이션 브랜즈 Class A
252,GOLD,바릭골드
253,WELL,웰타워
254,ALC,알콘 AG
255,FRC,퍼스트 리퍼블릭 은행
256,NWG,Natwest 그룹 PLC ADR
257,AZO,오토존
258,LYB,라이온델바젤 인더스트리스 Class A
