Number,Ticker,KoreanTicker
158,MLSS,마일스톤 사이언티픽
159,CHFW,컨소넌스-HFW 애퀴지션 Class A
160,SNMP,Evolve Transition Infrastructure LP Unit Class B
161,PHGE,Biomx Inc
162,VOLT,볼트 인포메이션 사이언스
163,BTTR,베터 초이스 컴퍼니
164,PTN,팔라틴 테크놀로지스
165,CHAQ,샤르단 헬스케어 어퀴지션 2
166,OPTT,오션 파워 테크놀로지스
167,UAMY,유나이티드 스테이츠 앤티모니
168,TRX,탄자니아 골드
169,HLM PR,힐만 그룹 캐피탈 트러스트 Pref SHS 11-6%
170,ISDR,이슈어 다이렉트
171,FURY,Fury Gold Mines Ltd
172,LOV,스파크 네트웍스 SE ADR
173,CEV,이튼 밴스 캘리포니아 뮤니스펄 인컴 트러스트
174,GLV,클러프 글로벌 디비던드 앤 인컴 펀드
175,ASM,아비노 실버 & 골드 마인스
176,ELMD,일렉트로메드
177,ARMP,아마타 파머수티컬스
178,FRD,프리드먼 인더스트리스
179,AIM,AIM 이뮤노테크
180,VGZ,비스타 골드
181,ISR,아이소레이
182,DIT,암콘 디스트리뷰팅
183,INUV,이누보
184,GGN PR B,GAMCO 글로벌 골드 내추럴 리소스 & 인컴 트러스트 Pref SHS Series B
185,SBEV,스플래시 베버리지 그룹
186,CHAQ-U,Chardan Healthcare Acquisition 2 Corp Unit
187,CHFW-U,Consonance-HFW Acquisition Corp
188,PED,페데브코
189,CDOR,콘도 호스피탈리티 트러스트
190,DSS,다큐먼트 시큐리티 시스템즈
191,FCO,Aberdeen Global Income Fund Inc
192,EVY,이튼 밴스 뉴욕 뮤니시펄 인컴 트러스트
193,IGC,인디아 글로벌리제이션 캐피털
194,NBW,Neuberger Berman California Municipal Fund Inc
195,OGEN,오라제닉스
196,AUMN,골든 미네랄스
197,TPHS,트리니티 플레이스 홀딩스
198,TKAT,타쿵 아트
199,VCF,Delaware Investments Colorado Municipal Income Fund Inc
200,NTIP,네트워크-1 테크놀로지스
201,BRG PR D,블루록 레지덴셜 그로스 리츠 Pref SHS Series D
202,NBO,Neuberger Berman New York Municipal Fund Inc
203,PLX,프로탈릭스 바이오테라퓨틱스
204,BTN,밸런타인 스트롱
205,SYN,신세틱 바이오로직스
206,VFL,Delaware Investments National Municipal Income Fund
207,OGCP,엠파이어 스테이트 리얼티 OP
208,EXN,Excellon Resources Inc
209,SIF,SIFCO 인더스트리
210,WYY,와이드포인트
211,PHGE-U,Biomx Inc Unit
212,BRG PR C,블루록 레지덴셜 그로스 리츠 Pref SHS Series C
