Number,Ticker,KoreanTicker
185,CG,칼라일 그룹
186,NUAN,누안스 커뮤니케이션스
187,STNE,스톤코 Class A
188,NICE,나이스 ADR
189,EXAS,이그젝트 사이언시스
190,ACGL,아치 캐피털 그룹
191,CHKP,체크 포인트 소프트웨어 테크놀로지
192,PPD,PPD Inc
193,INCY,인사이트
194,ARGX,아겐스 SE ADR
195,COUP,쿠파 소프트웨어
196,PTC,PTC Inc
197,SBNY,시그니처 뱅크
198,IEP,Icahn Enterprises LP Unit
199,ENTG,인테그리스
200,TCOM,트립닷컴 그룹 ADR
201,UAL,United Airlines Holdings Inc
202,SEDG,솔라에지 테크놀로지스
203,LNT,얼라이언트 에너지
204,PLUG,플러그 파워
205,NLOK,노턴라이프락
206,FUTU,푸투 홀딩스 ADR
207,DLO,D로컬 Class A
208,LKQ,LKQ Corp
209,STLD,스틸 다이내믹스
210,MQ,마케타 Class A
211,BZ,칸준 ADR
212,NVCR,노보큐어
213,ABMD,어바이오메드
214,MASI,마시모
215,CGNX,코그넥스
216,OTEX,오픈 텍스트
217,FANG,다이아몬드백 에너지
218,ZLAB,자이 랩 ADR
219,MRVI,마라바이 라이프사이언시스 홀딩스 Class A
220,CFLT,콘플루언트 Class A
221,GDRX,굿알엑스 홀딩스 Class A
222,RGEN,레플리젠
223,HTHT,화주 그룹 ADR
224,PCTY,페일로시티 홀딩
225,SOFI,SoFi 테크놀로지스
226,BMRN,바이오마린 파마슈티컬
227,UPST,업스타트 홀딩스
228,HAS,해즈브로
229,AAL,아메리칸 에어라인스 그룹
230,NDSN,노드슨
231,FIVN,파이브나인
232,JKHY,잭 헨리 & 어소시에이츠
233,XRAY,덴츠플라이 시로나
234,UHAL,아머코
235,DBX,드랍박스 Class A
236,CTXS,시트릭스 시스템즈
237,BRKR,브루커
238,FFIV,F5 네트웍스
239,WB,웨이보 ADR Class A
240,FIVE,파이브 빌로우
241,AXON,액손 엔터프라이스
242,MCFE,맥아피 Class A
243,CHRW,CH 로빈슨 월드와이드
244,FOXA,Fox Corp Class A
245,LPLA,LPL 파이낸셜 홀딩스
246,WIX,윅스닷컴
247,NTLA,인텔리아 테라퓨틱스
248,HST,호스트 호텔스 & 리조트
249,PENN,펜 내셔널 게이밍
250,IAC,IAC/인터랙티브코프
251,GLPI,게이밍 앤드 레저 프로퍼티스
252,REG,리젠시 센터스
253,GDS,GDS 홀딩스 ADR
254,MORN,모닝스타
255,WYNN,윈 리조트
256,CVAC,큐어백 NV
257,LAMR,라마 애드버타이징 Class A
258,MNDY,먼데이닷컴
259,EWBC,이스트 웨스트 뱅코프
260,OPEN,오픈도어 테크놀로지스 Class A
261,NWL,뉴웰브랜즈
262,OZON,오존홀딩스 ADR
263,GH,가단트 헬쓰
264,LSXMK,리버티 미디어 Series C
265,CREE,크리
266,LBTYK,리버티 글로벌 Class C
267,HSIC,헨리 셰인
268,PLTK,플레이티카 홀딩
269,CRSP,CRISPR 테라퓨틱스
270,PEGA,페가시스템즈
271,FSLR,퍼스트 솔라
272,RUN,선런
273,MIDD,미들비
274,PFPT,프루프포인트
275,OTLY,오틀리 그룹 AB ADR
276,DOX,암독스
277,FWONK,리버티 미디어 Series C
278,MANH,맨해튼 어소시에이츠
279,GLBE,글로벌-E 온라인
280,BMBL,범블 Class A
281,NTRA,나테라
282,OLED,유니버설 디스플레이
283,CONE,사이러스원
284,NWSA,뉴스 코퍼레이션 Class A
285,UTHR,유나이티드 테라퓨틱스
286,IPGP,IPG 포토닉스
287,ZION,자이언스 뱅코프
288,DISCK,디스커버리 홀딩스 Series C
289,ARCC,아레스 캐피털
290,CROX,크록스
291,SYNH,시노스 헬스
292,ZNGA,징가
293,JAZZ,재즈 파마슈티컬스
294,FLEX,플렉스
295,SEIC,SEI 인베스트먼트
296,CACC,크레디트 억셉턴스
297,CNXC,콘센트릭스
298,FOX,Fox Corp Class B
299,AGNC,AGNC 인베스트먼트
300,FATE,페이트 테라퓨틱스
301,AZPN,애스펜 테크놀로지
302,LECO,링컨 일렉트릭 홀딩스
303,FSV,퍼스트서비스
304,CBSH,커머스 뱅크셰어스
305,NBIX,뉴로크린 바이오사이언시스
306,MKSI,MKS 인스트루먼츠
307,LSCC,래티스 세미컨덕터
308,ERIE,이리 인뎀니티 Class A
309,BYND,비욘드 미트
310,EXPI,eXp 월드 홀딩스
311,NTNX,뉴타닉스 Class A
312,GNTX,젠텍스
313,FCNCA,퍼스트 시티즌스 뱅크셰어스 Class A
314,MAT,마텔
315,CRCT,크리컷 Class A
316,TTEK,테트라 테크
317,BBIO,브릿지바이오 파머
318,CHDN,처칠 다운스
319,XLRN,액셀러론 파마
320,WWD,우드워드
321,RGLD,로얄 골드
322,IQ,IQIYI(아이치이) ADR Class A
323,NEGG,뉴에그 커머스
324,ARVL,어라이벌
325,CASY,케이시스 제너럴 스토어스
326,PNFP,피너클 파이낸셜 파트너스
327,CGC,Canopy Growth Corp
328,APPN,애피안
329,MRTX,미라티 테라퓨틱스
330,DOOO,BRP Inc
331,PAA,Plains All American Pipeline LP
332,HCM,허치메드
333,APA,APA (US)
