Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-20 09:30:00-04:00,147.44000244140625,147.56190490722656,147.12010192871094,147.37249755859375,3190151,0,0
2021-08-20 09:31:00-04:00,147.3800048828125,147.66000366210938,147.1199951171875,147.13499450683594,497474,0,0
2021-08-20 09:32:00-04:00,147.12969970703125,147.47999572753906,147.0399932861328,147.05499267578125,346575,0,0
2021-08-20 09:33:00-04:00,147.10000610351562,147.3199005126953,147.02000427246094,147.23480224609375,329033,0,0
2021-08-20 09:34:00-04:00,147.11000061035156,147.13999938964844,147.11000061035156,147.125,333538,0,0
2021-08-20 09:35:00-04:00,147.0,147.0919952392578,147.0,147.08999633789062,379086,0,0
2021-08-20 09:36:00-04:00,147.0,147.0500030517578,146.94000244140625,146.9499969482422,359424,0,0
2021-08-20 09:37:00-04:00,147.0,147.0,146.8699951171875,146.9499969482422,311912,0,0
2021-08-20 09:38:00-04:00,147.0,147.25799560546875,147.0,147.0850067138672,346706,0,0
2021-08-20 09:39:00-04:00,147.25,147.25,147.2270965576172,147.2270965576172,293126,0,0
2021-08-20 09:40:00-04:00,147.25,147.25,147.10000610351562,147.13999938964844,299355,0,0
2021-08-20 09:41:00-04:00,147.32899475097656,147.3300018310547,146.97000122070312,146.97000122070312,278427,0,0
2021-08-20 09:42:00-04:00,146.8009033203125,146.8009033203125,146.8009033203125,146.8009033203125,233750,0,0
2021-08-20 09:43:00-04:00,146.875,146.97999572753906,146.8000030517578,146.9499053955078,204706,0,0
2021-08-20 09:44:00-04:00,147.08999633789062,147.1199951171875,147.07000732421875,147.11000061035156,255876,0,0
2021-08-20 09:45:00-04:00,147.25,147.44000244140625,147.1699981689453,147.17999267578125,440848,0,0
2021-08-20 09:46:00-04:00,147.36000061035156,147.42990112304688,147.3000030517578,147.3800048828125,300984,0,0
2021-08-20 09:47:00-04:00,147.5,147.52999877929688,147.3800048828125,147.3800048828125,380965,0,0
2021-08-20 09:48:00-04:00,147.5,147.5399932861328,147.3800048828125,147.3800048828125,278026,0,0
2021-08-20 09:49:00-04:00,147.25,147.27000427246094,147.25,147.27000427246094,225944,0,0
2021-08-20 09:50:00-04:00,147.4259033203125,147.49000549316406,147.37989807128906,147.4716033935547,276797,0,0
2021-08-20 09:51:00-04:00,147.5399932861328,147.5399932861328,147.44000244140625,147.4600067138672,299133,0,0
2021-08-20 09:52:00-04:00,147.46499633789062,147.63999938964844,147.4550018310547,147.53790283203125,254704,0,0
2021-08-20 09:53:00-04:00,147.60989379882812,147.69000244140625,147.57000732421875,147.60009765625,273124,0,0
2021-08-20 09:54:00-04:00,147.62890625,147.67990112304688,147.5200958251953,147.58999633789062,219551,0,0
